Date,Open,High,Low,Close,Volume
2/4/08,11.75,12.4,11,12.4,2000
3/4/08,12.4,11.4,11.4,11.4,500
8/4/08,11.4,11.4,11.4,11.4,500
15/4/08,11.4,10.5,10.4,10.4,13500
16/4/08,10.4,11,10.7,10.7,1500
17/4/08,10.7,11.15,10.5,10.5,7000
18/4/08,10.5,11,11,11,1000
21/4/08,11,10.6,10.6,10.6,1000
23/4/08,10.6,10.7,10.7,10.7,1000
24/4/08,10.7,10.7,10.7,10.7,1000
25/4/08,10.7,11.7,11.5,11.7,70000
30/4/08,11.7,11.69,11.69,11.69,500
2/5/08,11.69,10.69,10.69,10.69,2000
5/5/08,10.69,11.69,9.76,9.76,1000
7/5/08,9.76,10.76,10.76,10.76,500
16/5/08,10.76,10.76,10.76,10.76,2000
23/5/08,10.76,9.76,9.76,9.76,500
27/5/08,9.76,9,9,9,1000
29/5/08,9,9,9,9,1000
6/6/08,9,10,10,10,1000
10/6/08,10,11,11,11,9000
11/6/08,11,12,12,12,1500
12/6/08,12,13,12.61,13,9000
13/6/08,13,14,12.55,14,108000
16/6/08,14,15,14.89,15,6500
17/6/08,15,15.7,15.7,15.7,500
18/6/08,15.7,16.7,15.5,16.7,18000
19/6/08,16.7,15.7,15.7,15.7,1000
20/6/08,15.7,16.7,16.5,16.7,6500
23/6/08,16.7,16.95,16,16.95,2500
24/6/08,16.95,18,17.5,18,10000
1/7/08,18,17.82,17.82,17.82,500
1/7/08,18,17.82,17.82,17.82,500
2/7/08,17.82,18.4,18.4,18.4,500
10/7/08,18.4,18.22,18.22,18.22,500
15/7/08,18.22,17.23,17.22,17.22,1500
16/7/08,17.22,16.22,16.22,16.22,500
21/7/08,16.22,16.99,16.5,16.99,2000
28/7/08,16.99,17.44,17.44,17.44,500
30/7/08,17.44,16.99,16.44,16.99,5000
31/7/08,16.99,16.4,16.01,16.4,1500
1/8/08,16.4,17,15.6,17,2500
4/8/08,17,17.5,17.5,17.5,500
9/1/09,17.5,18.5,16.5,17.81,8000
4/2/09,17.81,16.81,16.81,16.81,500
9/3/09,16.81,15.81,15.81,15.81,0
11/3/09,15.81,15,15,15,0
12/3/09,15,14,14,14,0
16/3/09,14,13,13,13,5000
17/3/09,13,12,12,12,4000
18/3/09,12,13,11,13,3500
24/3/09,13,12,12,12,0
25/3/09,12,11.25,11.05,11.25,1000
26/3/09,11.25,11.4,11.4,11.4,500
27/3/09,11.4,11.25,11.25,11.25,1000
31/3/09,11.25,11.1,11.1,11.1,500
2/4/09,11.1,11.5,11.5,11.5,0
3/4/09,11.5,11.75,11.75,11.75,0
6/4/09,11.75,11.75,11.75,11.75,1000
7/4/09,11.75,11.75,11.75,11.75,5000
8/4/09,11.75,11.75,11.75,11.75,1000
10/4/09,11.75,11.76,11.76,11.76,0
13/4/09,11.76,12.05,12,12.02,5000
14/4/09,12.02,12.01,12,12,1500
20/4/09,12,12,12,12,500
21/4/09,12,11.75,11.75,11.75,1000
24/4/09,11.75,12.7,12.7,12.7,2000
27/4/09,12.7,12.5,12.26,12.42,3000
28/4/09,12.42,12,12,12,0
4/5/09,12,11.55,11.55,11.55,500
6/5/09,11.55,12,12,12,500
13/5/09,12,12,12,12,6000
15/5/09,12,12,11.75,11.75,2000
21/5/09,11.75,12,12,12,500
28/5/09,12,12.95,12.25,12.93,2000
29/5/09,12.93,13.9,13,13.59,3000
2/6/09,13.59,12.8,12.8,12.8,500
3/6/09,12.8,12.16,12,12.08,4500
9/6/09,12.08,12.45,12.45,12.45,500
11/6/09,12.45,13.1,12,13.1,2500
15/6/09,13.1,13.7,13.7,13.7,500
17/6/09,13.7,12.7,12.7,12.7,0
18/6/09,12.7,12.5,12,12.1,6000
22/6/09,12.1,12.05,12,12.02,3000
23/6/09,12.02,12.4,12.4,12.4,500
25/6/09,12.4,12.48,11.75,12.48,3000
26/6/09,12.48,12.48,12.02,12.48,1500
29/6/09,12.48,12,12,12,2000
30/6/09,12,12.5,11.75,12.13,5500
1/7/09,12.13,12,11.5,11.6,9500
2/7/09,11.6,12.44,12,12.44,1000
6/7/09,12.44,13.25,12.49,12.79,2500
7/7/09,12.79,13.2,12.75,13.2,1500
13/7/09,13.2,13.2,12.25,12.25,4000
14/7/09,12.25,13.25,12.5,13.25,3500
15/7/09,13.25,14.25,13.75,14,2500
17/7/09,14,14.6,14.25,14.38,3000
20/7/09,14.38,15.38,14.9,15.14,3500
21/7/09,15.14,16.1,15.25,16.08,1220
22/7/09,16.08,16.95,16,16.79,600
23/7/09,16.79,17.24,17.24,17.24,10
24/7/09,17.24,17.4,16.25,17.4,210
